Class,Tweet
neg,يارب النهاردة يبقي يوم حلو ومعيطش :(
neg,#تمني_الليله ' شوفتك وحبة خشمك يااغلامن فقدابوي 💔
pos,من حفلة الرياض 🎤 محمد السناني سلطان الهاجري
pos,♡ على أشرف العالمين سيدنا ونبينا محمد الصلوات ♡ على شفيع المذنبين سيدنا وشفيعنا وقرة أعيننا محمد الصلوات ♡ على م…
pos,يعني المخابرات السورية وصلت للقمر وعايفة #الجولان 🌚 #الحشيش_الارجنتيني 🤦🏽‍♂️ الله حيوو العگيد شلاش 👌🏽
pos,"- صباح ال 💜 "" كل بسمه من ورا وجهك خير 🕊''"
pos,🌿 ﴿ رب اشرح لي صدري ، ويسر لي أمري ﴾ ﴿ رب اشرح لي صدري ، ويسر لي أمري ﴾ ﴿ رب اشرح لي صدري ، ويسر لي أمري ﴾ ﴿…
pos,بالسلامه ي ابو وليد 💛
pos,يقول عز وجل ( لقد خلقنا الإنسان في أحسن تقويم ) ويقول ( و لقد كرمنا بني آدم ) لايجوز بعض الصفات التي لا تليق على ال…
pos,وانا والله 😂
pos,ليش طيب شجعت فقر البطولات ؟ اكيد تحب الدراما صح 😎
neg,انتظرك ولازلت متمسك فيك وغيري للأسف فيك يقهرني 💔
pos,"الاب ""مهكر"" المقلب 😅"
neg,#اشراقة_اليوم تغيب الشمس وتشرق شمس العالمي وتنور ليل عشاقه 💛💙 لبى النصر و لبى عشاقة 💛💙 💛💛💙💙 #الاتحاد_النصر…
neg,صباح الخير ✋
neg,انا لم أرحل .. ولكن انتي من أطفأ النور بداخلي فتلاشيت 💔
neg,صباح النور والنوير 😭
neg,⠀ ⠀ ⠀ ⠀⠀ ⠀ ⠀ ⠀ كرهت أن اهتم ب احد لأني حين اهتم اشعر بأأنهم يتغيرون وكلما…
pos,يارب تفرج عني وعن كل من قال يارب .. . . #اللهم_أمين 🌹
pos,من ارض سيدي جابر 😂 #افريقيا_يا_صن_داونز #صن_داونز
neg,احسبه سمير غانم 😳
pos,شاحنة تطلق بخار في الهواء والوان الطيف تتبعها .. سبحان من خلق الضوء وخصه بهذه الالوان الجميلة 💫 #قناة_فيزياء_للجميع
pos,يظلم الليل وتهدأ الأنفس وتنام الأعين ويبقى { نور السموات والأرض } يستجيب لمن دعا ويغفر لمن استغفر و…
neg,عندي هرجة جيدة يبالها باث مو تويتر 🤔
neg,_ ♨️ اقسم بالله 🍯 👍 🚫 عسل سدر جبلي طبيعي 🚫 💯 💯 💯 💯 😊 من منحلي ال…
pos,صباح الخير .. لمن ينتظرنا كل صبح ليبادلنا التحية والكلمة العذبة والدعوات صباح الخير .. لمن نهض وتذكرنا فبادر بالت…
neg,#وش_تعلمت_من_الدنياء ان صاحب الهاشتاق بليد في الإملاء !! 🙈
pos,شكلك فلسطينى اخلاقك اخلاق فلسطينين 😂
pos,﷽ ﴿ إن الله وملائكته يصلون علىٰ النبي يآ أيها الذين آمنوا صلوا عليه وسلموا تسليما ﴾ الله…
pos,ردة فعل لينا اختي لما صحت وشافت ميك اب امي وهي طالعه 😂
neg,لا مش للدرجه دي يعني هو مش جبان اوي كده 😏
pos,#قلوب_صافيه_للدعم هناك مواقف أيقظتنا وصنعتنا من جديد وهناك علاقات توقعنا منها الكثير ووجدنا القليل وهناك دروس لم ت…
pos,وش هالمزح 😂
pos,ما ضاقت الا و فرجت .. الحمدلله 💗
pos,شيئان يحددان من انت صبرك عندما لا تملك شئ واخلاقك عندما تمتلك كل شئ 💛
neg,الى متى التعامل السئ للخادمات وعدم احترامهم وكأنهم حشرات والله هالمواقف تصير بيننا ونشوفها المربية جات من بيتها مع…
pos,الهلالي اللي متحزم بالاتحاد مثل النصراوي اللي متحزم بالأهلي اذا فاز الاتحاد انا مستعد اتبرع بنص ثروتي له 🙏
pos,╭ 🌹 ┊╭ 🍃╯ ╰🌹 ╯ 🔱 شکر وتقدير من إدارة 🔱 #بوح_الياسمين_للتبادل لكم علي الحضور المتميز والتواجد اليومي وال…
pos,✨تنحني الحروف خجلا لمدحكم اعتليتم السماء🎈 🌟حسابات ملكيه 👑 نفتخربتواجدهم ضمن كوكبتنا الراقيه صنعوا الابداع تمي…
neg,والله هالوافد عينه قويه 😏
neg,الحياة من غيرك ملهاش طعم يا غالية :(
neg,خد كل حاجة بس متمشيش 💔
neg,#الاتحاد_النصر اي هلالي فاضي يجي يكوي لي الشماغ عندي دوام بعد شوي 😒
pos,زي صحابي بالظبط ❤
pos,ابد كل عصر نفك لك حلوه 😂
pos,عندما يحضر اسم نادي #الهلال فلا مجال للدبلوماسية والخبرة الإعلامية،النادي الذي أفرح الملايين من قلوب عشاقه لابد للح…
neg,دايما يظلموننا والله شفتي كيف :(
pos,البليهي أختصر مشاعر جمهور #الهلال تجاه عبدالله المعيوف ، شكرا من الأعماق 💙 !
pos,#يوم_الجمعه لآ أعلم أمنيآتكم،ولكن أسأل الله أن يرزقكم فوق مآ تتمنون سعآده تسع الكون بأكمله 🌸
neg,هذا الهدف 😔
neg,والعبادات ليست ثقيلة، ولكن القلوب حين خربتها الذنوب .. أثقلتها 💔 فاستغفروا ..❤️
neg,لاحول ولا قوة الا بالله العلي العظيم
neg,لا يمكن ان اتعاطف مع اي سعودي من رجال الاعمال قام بالاستعانه بإحانب وسرقوه بل اقول الله يزيدك يا من فضلت الاجنبي اب…
pos,هه تعالي اقتلك 😂
neg,صباح الشوق لناساتي 💔
pos,اللهم إنى رضيت بالله ربا وبالإسلام دينا وب محمد صل الله عليه وسلم نبيا ورسولا ❤
pos,الله يسعدك وين ما كنتي 🌹
pos,😂 😂 تمشي معاك أخي محمد 🙊
pos,خطيبة الديوث عايز رايكم 😍
pos,فيني ألف نبضه تخاف عليك ، وفيني ألف شعور يحبك ♡ .
pos,صباح الخير 💚
neg,كمان أقل من القلقاس لا زعلت بجد 😂💔💔
neg,#نعجان 🌺كلين 💪🏼 للتنحيف 🎀 والرشاقة💪🏼 متاابعة دورية خلال مدة الكوورس 🌻 مع خبراء تغذية 🌸 ✨رش…
neg,منقطة الممزر .. 💚 كان في نادي اسمه نادي الشباب العربي لكن تم هدمه لاجل عيادة 😔 #نادي_الشباب_العربي
pos,ريتاج الله الله عليك 👋
neg,ترا ما اكرهها بس صدق يضحك 😭
pos,شنو مقابل 😉
neg,انا داريه ما منك رجا لكن باليز 😭
neg,دكتور الاسنان لو قاصد اني اكرهه قبل ما اشوفه مكنش اداني معاد الساعه والشمس عمودية ده 😭
pos,الخضوع باام عينه 😂👇🏻 الله يسامحك ي برونو وش سويت فيهم 😝 #الاتحاد_النصر
neg,ليعلم قلبك أني أحبك فوق قدرتي ،، و أكثر ما أراد مقدار الهوى ،، فوق حدود رغبتي وأعظم من قسوة قلب ،، تحول إلى لين…
pos,💖 #ياشاكي الحال
neg,😒 ع اساس تويتك
neg,صغير ع #الفراک ✋ شبيكم #وياي خل اكبر شوي #وفارگوني 💔😔 #حروف_ثمله…
pos,وش هالفخامه اجي تعطيني دروس 🤗
pos,وهذا المطلوب 😎
neg,الراحمون يرحمهم الرحمن ❤️
neg,مشتهيه شاورما :(
neg,اي نعم 💔
neg,ستريم ستريم نبغى مليون :(
neg,الله يرزقنا 😢
neg,انتظرك ولازلت متمسك فيك وغيري للأسف فيك يقهرني 💔
neg,💥 جديد الدروس العلمية 💥 📖 تفسير آيات الصيام .. 🎙العنوان : - يا أيها الذين آمنوا كتب ع…
neg,لعب فينا البعوض 😤
pos,كم مرة باليوم ؟ 😍
pos,فترة حكم ابن عوف الممتدة من -ابريل-2019 إلى -ابريل-2019 حتكون اظبط باب في كتاب تاريخ اولادنا واحفادنا لانها حتك…
neg,الحال من بعضه 💔
neg,محد يقد يدخل عليه 😭
pos,سعادتي هي رؤية من أحب بخير ، ف يا رب اجعلهم سعداء أينما كانوا ♡
pos,مسكين عايش جو المؤامرات ونسى كرة القدم والمشكله ناديه ماينافس وله وجه يتكلم 😂
neg,مهو مش معقول مش عارفه يعني اي هدية :(
pos,بطنك الجميلة تستحق الفرح .. دلعها ب #معصوب_عريكة من فوال الطائف😋 وجبرها بنفسك 🌹 فروعنا في #الرياض: #الحزم…
pos,رحله لطيفه 💙
pos,فويس محترم 🌚
neg,يارب لم يبقى لدي القوه 😢 . فبعزتك وجلالك أوكلت أمري إليك 🙏
neg,القلي بالهواء الساخن VS القلي العادي مهم قبل #رمضان تاخذ فكرة عن الموضوع 🙃
pos,صباح الخير يامحامينا ماتتكرم وتزورنا وتشرفنا بحضورك بمنطقة الحدود الشمالية للمملكة السعودية مو بس نجد…
pos,#الهلال_الاهلي وزيرتنا أختاري لي كم حساب يحتفلون معنا ذالليلة بمناسبة فوز #الهلال يستاهلون…
neg,بنشكر الله انو القلب عضلة مو عظم .. بضل التعضيل ارحم من الكسر 😔
pos,صاحي يادااب شكلك 😂
pos,صباح الخير 💛
pos,عزيزي المتابع.. إن كنت ترى أن صفحتي المتواضعة قد نالت إعجابك فضلا منشن لشخص وأخبره انها تستحق المتابعة..يسرني جدا أ…
neg,جوانا سكوت مليان كلام ، صداع من دوشه الأفكار ، ملل ، خنقه ، وبينتهوا ب كلمه تمام .. 😔
pos,يوم كان غوميز يهايط على الشاب الصغير عبدالباسط كان الوضع فله ويركبون عليه مقاطع ويوم جاء ابو عمر وهجد غوميز صاحوا ع…
neg,ياحضرة النوم هذي ماهي بحاله لا تمن في جيتك ارجوك آسستعجل ارحم سهيرا طفش من وضعه وحاله ماهوب حق علي يانوم تسترجل 🥀
pos,احلى صباح يا بخت الدوام فيكي 😍
neg,ايه م نسيته اا لسع م خليتني اروح معاكي 💔
pos,بالصبر تفتح أبواب السعادة وبالشكر تدوم النعم وبذكر الله تطمئن القلوب. جعلنا الله وإياكم من الذاكرين الشاكرين الصابرين. 🌸صباح الخير 🌸
neg,أششين يوم بحيياتتي امي طاحت مغمى عليها وودوها الاسعاف دعواتكم لها تكفون والله لاموت اذا صار لها شي 💔
neg,🤔 بتحاول تزيد وزنك لكن بدون فائدة 👀 جربت حلول كثيرة وما نفعت معك 👈مع فوريفر وجدنا الحل النهائي 😍 🔱 *مجموعة التسمي…
pos,"اي انجاز بستحق انو نفرح بيهو , لكننا في انتظار الفرح الحقيقي والاحتفال الاكبر , البتلخص في تحقيق كل مطالب وغايات ال…"
neg,ريحه المستشفى تمرض زياده 💔
neg,والعيد كمان 💔
neg,انت بتضحكيني أوي والله :(
neg,مامى راحت فين و هى صغيره كانت بتروح night clubمع صحابها البنات و الولاد فخوره بماما جدا 😒
pos,👑 اللهم اجعلنا من عبادك الراضين المتقين الحامدين الشاكرين الساكنين والمطمئنين لكل اقدارك 👑اللهم ارزقنا الصبر والحكم…
pos,🍃 أسعد الله صباحكم بالخير والمحبة والسرور وطابت أوقاتكم بذكر الله.
pos,#نمشي_للتصلب_اللويحي بكذا نكون اختتمنا يومنا 💗 شكرا لكل من حضر وساهم ودعم من دكتورات وطالبات واداريات و…
pos,فطوم يحلوتي 💕
neg,تناك بعنف وتنزل شهوتها من المحنه: كسها خنيث شراميط نهود قحبة 😨 إبريل :27:56 مساء
pos,🚨 متوفر حسابين بوينت فيفا ب ومتوفر حساب ب *التسليم فوري 👍😍
pos,صباح النور 🌹
pos,"اللهم رفيقآ ح تى المشيب يج رني من قلبي إلى ج نتك ج رآ 🍃 , ,"
pos,بنقول صباح الخير ❤
pos,افطرت حبيبي ولا باقي ؟ 😂 &gt; اصلا احنا مانشوف غير العميد الشايب العايب الوقور منافس لنا 💘😂 ياحبيبي نخضع يلعن…
neg,#الوتر_جنة_القلوب سبحانك آللهم و بحمدك أشهد أن لآ إله إلآ أنت أستغفرك و أتوب إليك #كفاره_المجلس 💭✨ .…
pos,اها 😂 استغربت واضح كان فيه خطأ .. افتحي لك محل هدايا 🌚
pos,‌-حدثني عن كرم الله؟ -يراك تعصيه ؛ فيصيب قلبك بالندم ، ثم يلهمك الاستغفار فيغفر لك .. ثم يرضى عنك فيبدل سيئاتك…
neg,مدري اشفيك ع الطايف 😢
pos,إبداع 🌹 صراحه كان زين رطب خنيزي على هذا الجو الطيب 😁 #أخدود_الفيض٢
neg,رئيسين في يومين قالو الربيع العربي 😒 نحنا الكتاحه الأفريقية
neg,😒 مب حلو شعر قصير للبنت
neg,حبي نفسك لاتنتظري احد يحبك لأن بالنهايه راح يتخلى عنك 💔
pos,يالله يارب على الجمال 💛
neg,انا مافيني حيل اقوم اسكر باب الغرفه 😕 بس فيني حيل الحق اي ورع فالبيت لو الف البيت لف عشان اضربه واخليه يجي يسكر الباب مثل ما قلت له 😂🌚💔
pos,انا جعان ومكسل اقوم 😂
neg,احلى شي تستاهلوا. والله ادب . عيل الشغل كله على البنت او الشغاله 😒
pos,#الهلال_الأهلي .. ختام بطولة النخبة لكرة الطائرة سوف تقام على صالة الهيئة العامة للرياضة بالرياض الساعة :00 م ..…
pos,صباح الورد 🌹
neg,😰 قسم لو شفت ذي البنت ف اي مكان بشرد😱💥💥🏃🏻
pos,سأطبع آحمر الشفآه على خدگ 💋 ليكون آإنذآر لجمييع النسسآإء بأنك لي 😋
neg,هو انا ليه لما باجي أنزل فيديو هنا بيطلع الأصوات شبه صوت العفاريت 😭
pos,يقول.. ليا ضآق خاطرها تجي يمي.. وتبشر ب قلب يموت ولا يزعلها .. #ريوف 🎶
neg,انا فيش حدا مزلوم مثلي 🌚
neg,من أولوياتنا قي السودان الجديد عودة الجيش السوداني من اليمن وانسحابهم من هذه الحروب العبثية بالوكالة ✋ حرب اليمن ل…
neg,بكرا بتبلش الseason finale لل Game of Thrones يلي لح ينزعج من الحفلة يلي لح تصير عندي عالتايملاين بهذه المناسبة الع…
neg,فقدنا الشغف بالحياه نفسها 💔
pos,اغلى مافي التاج الدرة ..هكذا يقولون ☺️
pos,الكفيل مبسوط 😂
pos,"اللهم أرحم من غابوا غيابا أبديا,اللهم أبعث لهم نورا إلى يوم يبعثون 💙"
neg,صباح الخير 💛💛، ماعندي اغنية اشاركها مع صديقتي بس يارب تتوفقي بختباراتك وتذكري تعبك ما بيضيع 😔 — صباح النوور شكرا وي…
neg,--⚜️💭⚜️-- 🌟الامير: طايش🌟 💐اᓚ۶ᒧggȷɹ̣ᓄᓚᓅɺ💐 💥💥50k💥💥 ⚡️شاهدين لك بالخير⚡️ 💥💥فالك المليون💥💥 ♡⌒✰‿✰⌒♡…
neg,😭 😭 😭 هه
neg,تلاتين سنة بترقص .. الليلة رقصتنا أنا ببكي 😭 دي حلاوة شديدة باخ
pos,لك الله ع الاحساس وهالطله البهيه تروحي ع البيت بسرعه عشان ماتنصابي بالعين 😉
neg,دنا زادت ملايين وبتصير بسبب بوي ان لوف 😭
neg,اشكرك ياصديقتي 😔
neg,🔥انفجار غضب الشعبي 🔥Explosion of popular anger 💥فيديو اخر من مظاهرات عارمة #الاهواز 💥 Video is another great demon…
neg,#عطني_اعلومك مليت يا(تويتر )ويمكن نودعك ونعود لك من بعد فتره طويله . تعبت أنا من كثر مااكتب وأتابعك وأساهر عيوني معك كل ليله 😔
neg,ما مسواي تاريخ انتهاء 😏
neg,انا اتحادي من ايام جبرتي الشمراني👀 مو عشان الهلال لالالا 😨 #صباحات_الاتحاد
pos,ولا اعرف والله ولا مهتم اعرف انا للاسف اصطدمت بمجاري جاية من جروب الدفعة تلات بوستات شرشحة لناس المفروض هيبقو ستاف جامعة 😅
neg,شكلك حزين 😔
pos,بمناسبة فوز #الهلال 💙💙 سحب على مبلغ مالي 💰 شروط المسابقة : • رتويت للتغريدة • متابعة : السحب من الرتوي…
neg,انتظرك ولازلت متمسك فيك وغيري للأسف فيك يقهرني 💔
neg,الحمدلله ان الجنه والنار مو بأيدهم ،اللهم عليك بمن ظلم البدون 💔 #اغلاق_حسابات_البدون_في_البنوك
pos,يلاقيها من الاهلي ولا من البشير 😂
neg,~~☆ #هناا_الوحي ✋ تحذير للجماهير⚠الصفرااء سلامتك خير من الدنيا ومافيها🚩 ⛔⚠✋ جميع الطرق المؤدية للملعب مغلقة وغردزه…
neg,📌 عندهم استعداد بأنهم يطلعونك للبحر ويرجعونك عطشان.. قلب للحقائق.. وكذب على عباد الله وتشويه سمعة الناس !! الحقائق…
pos,كيف اللوك 😎
neg,الصوت يكفيك 😢
neg,ماراج أضيع وقتي 😂 شكلي أكلم ضفدع معوق 🐸
neg,وياتي زمان ويذهب الزمان💫 وتبقى قصة العاقشين الى أرض الحنين كربلاء #السلام_عليك_يا_ابا_عبدالله ✋
pos,"🎥 المهمة الأولى في ""جدة"" ✔💪🏼 💙 #الهلال #فيديو_الهلال"
pos,ماتخاف ربك نيفين مره وحده 😂😂 على الأقل شفلك اسم مناسب لبيئتنا شوي ياعبده 🤣
neg,كفو 👍🏻 😭
pos,#وش_يقول_الليل يقول ارقدوا ومن اصبح افلح 🙂
pos,الله المستعان 😔 حط أسهم 🙈 صباح النور 🌻
pos,صباحك نور وعافية وأجواء ممطرة أخوي علي 🌺
neg,بمشيلو اياها عشان ديرك بس 😞
pos,ايوه صح بس ماتاخذني لمكان بعيد زيه 😂
pos,لي لهجتن في ظلمة ( الحتسي ) ضيي (حتسين) مهو (حتسيي) أنا ويش ابي فيه لبيه جتنا واختفت ( بعد حيي ) وانا م ابد…
pos,اللهم ارحمهم ووسع قبورهم وتقبلهم في جناتك برحمتك يا ارحم الرااحمين امين يا رب العالمين
pos,تعالوا خنسولف :)
pos,الدقيقة الجزائر السودان الدقيقة السودان الجزائر ريمونتادا تاريخية 😂 سقطنا اي شي م فضل الا تفتح الجامعة ونسقط نحنا
pos,أشياء في خاطري ودي أوصلها دونتها في قصيده ما رضت تكمل 👇 #فقرة 🌼بووح آلشع ر🌼 : انتظرونا كل ليلة خميس ال…
neg,وضعي فالبيت : آخر من ينام 😴 آخر من يقوم 😅 آخر من يعلم 🌚 اول من يتهزأ 😂
pos,تعالي مادام الجو ممطرووضعي زين ترى العود ليامنه زعل يندمر جوه 😛 لكن اغتنمها فرصة ماتجي بعدين اخذ ماتريده واغنم العود من توه😂 #br
pos,و عصفورة* 😂😂✨💖💖
pos,لا احد يغرق ويشغل الدفاع 😂
pos,كم معنا يالله ❤
neg,صراحه الايام الحلوه ذي 😩 #مسلسل_ودك_يتكرر_برمضان
pos,ياعمرريي ولا يازييننكك ولا الله يسعدك ولا وجهك الحلو يعني الردود تتعدد وتختلف 😂
pos,كل مرة إسرئيل بتقصف سوريا ولا من رد وين اس وصواريخ الارض ارض خلوهم ليوم العيد 😂 #الروسي_المنافق
pos,#الهلال فاز في ثلاث موسم مباريات على #الاهلي وبدون فائدة 😁 #الاهلي فاز بموسم واحد ( مباريات وحقق ثلاثية )…
pos,الحمد لله💙 ألف مبروك يازعماء 💙 القادم أجمل إن شاء الله 🙏🏼
pos,-١ للعالمي وبعد المباراة إن شاء الله أهديك هذه 😂
neg,انا نفسي اهوي دماغي كده زيها وربنا تحس كده ان اختي عايشه ف كوكب الروقان 😏
neg,"🕊🕊 💥 "" لو كنت أضن إن كل الطيور تهاجر إليك💥 🕊🕊 لكنت كتبت على كل ريشة أشتقت إليك. 💥🕊💥 """
neg,.#اني حجايه شرف مو #كلمه تنكال😌 شحلات #اهل المواقف #لو حجوا بيه ✋🏻 اني #محيره النده لو عالورد #مريت🌸 #عاف الورده ب…
pos,#الاتحاد_النصر الهلالي وضعه وهو جالس يحفز الاتحادي 😂
pos,يوم كان غوميز يهايط على الشاب الصغير عبدالباسط كان الوضع فله ويركبون عليه مقاطع ويوم جاء ابو عمر وهجد غوميز صاحوا ع…
pos,خادمة الاخوان مدام توكل كلما شتمت القمم امتلأت جيوبها بالريال القطري والليره التركية .! لا فرق بي…
neg,مو منجدهم سسلامات يازينوه وانت تسمع التراويح وفي شهر فضيل 😭
neg,اخت صالح أسلمت ❤😍 عقبال باقى أسرتهم يارب 😍 كان فيه حفله بالليل على اكونت الشيخ محمود وملحقتهاش 😭 الحمد لله الحمد لل…
neg,في نااس بمجرد ما يحطو 👍 like ع تويتاتى 😍 بيرتفع هرموون السعاادة عندي لحااله 😊 كيف بقى لما بيعلقو ❤ ياا وييل قلب…
neg,قد أوتيت سؤلك يا موسى يارب 😢
neg,يارب انك تمزح 😐
neg,"وليد اذا طلع لندن كاشخ ويطلع مع المعازيب ""النصراوية"" تقول رئيس وزراء حقهم واذا صور في السعودية يجيك كنه هوملس 😑"
neg,صباح وجع قلب 💔
neg,اشمت و افرح بفشلنا الأهم ان تبقى مستحمرا نائما 😴 و الله لولا أن ما يريدون تمريره على درجة من الأهمية ما جعلوك تشمت…
neg,الله يهدييك 😾 كلامك لا يمثلني ✌️
pos,فخوره فيك جدا جدا جدا 💜
neg,مدري ليه ماضحكت ممكن عشان النصر حيهزمنا 😭
pos,فيني اكتئاب مايروح الا بالتخرج 😂
neg,أين السبيل الى وصالك دلني 💔
neg,. كنت قد تبت من الحب ! لكن عيناه جعلتني مذنبا 💔
neg,اخضع ياصغيير 💔
pos,نامي بس وخليها تنام 😂
neg,انتظرك ولازلت متمسك فيك وغيري للأسف فيك يقهرني 💔
pos,كل منا مبتلي بشكل ما..فاللهم أعن كل ذي وجع علي وجعه 💚
neg,سبحان الله وبحمده سبحان الله العظيم ارح مسمعك 😴
neg,أحبك بكل ما أوتيت من مرض 💔 #صوت_الحق_للدعم #كروب_الزهور_للدعم #النرجس_للدعم #اميره_الموسم #عراق_الخير
neg,الترتيب 🤦‍♀️.. يحبون المشي والمغامره 😏
