word,number
شكوك,-1
نضح,-3
دوشباج,-3
مسبل,-2
مكتئب,-2
الجانب السلبي,-2
يجر,-1
جر,-1
يطول,-1
استنزاف,-2
الرهبة,-2
فزع,-2
مروع,-3
مخيف,-2
حلم,1
أحلام,1
كئيب,-2
متخاذل,-2
يسقط,-1
يغرق,-2
غرق,-2
يغرق,-2
سكران,-2
متردد,-2
الفاشلة,-2
ممل,-2
غبي,-3
غبى,-3
أحمق,-1
ملقاة,-2
مقالب,-1
مغفل,-2
مخدوع,-2
اختلال وظيفي,-2
حريص,2
جدي,2
يُسَهّل,2
سهل,1
شاطح,4
غريب,-2
غريب,-2
فعال,2
على نحو فعال,2
مبتهج,3
ابتهاج,3
أنيق,2
بأناقة,2
يحرج,-2
مُحرَج,-2
يحرج,-2
إحراج,-2
إحراج,-2
بالمرارة,-2
تعانق,1
حالة طوارئ,-2
متعاطف,2
الفراغ,-1
فارغة,-1
مسحور,2
يشجع,2
شجع,2
تشجيع,2
يشجع,2
تصادق,2
أيد,2
المصادقة,2
يؤيد,2
أعداء,-2
العدو,-2
نشيط,2
يشترك - ينخرط,1
يشارك,1
منهمك,1
التمتع,2
الاستمتاع,2
يتمتع,2
تنوير,2
المستنير,2
المنير,2
ينير,2
الملل,-2
غضب,-2
غاضب,-2
يغضب,-2
غضب,-2
بهج جدا,3
استعباد,-2
مستعبدون,-2
العبيد,-2
يضمن,1
ضمان,1
مغامر,1
مسلية,2
فتن,3
متحمس,3
مخول,1
عهد,2
يحسد,-1
حسود,-2
حسد,-1
الحسد,-1
خاطئ,-2
خطأ,-2
أخطاء,-2
هرب,-1
يهرب,-1
الهروب,-1
محترم,2
أخلاقي,2
نشوة,3
البهيجة,4
الإخلاء,-1
شر,-3
مبالغة,-2
مبالغ فيه,-2
يبالغ,-2
المبالغة,-2
غاضب,2
تفوق,3
ممتاز,3
إثارة,3
فرح,3
الإثارة,3
مثير,3
استبعاد,-1
مستبعد,-2
استبعاد,-1
حصرية,2
عذر,-1
معفى,-1
أرهق,-2
مبتهج,3
يبتهج,3
مبهج,3
تبرئ,2
تبرأ,2
يبرئ,2
تبرئة,2
وسعت,1
يتوسع,1
يطرد,-2
مطرود,-2
طرد,-2
يطرد,-2
الاستفادة,-2
مستغلة,-2
استغلال,-2
مآثر,-2
استكشاف,1
الاستكشافات,1
تعرض,-1
مكشوف,-1
يكشف,-1
تعريض,-1
تمديد,1
يمتد,1
غزير,4
مبتهج,3
ببهجة,3
خلاب,4
موضة عابرة,-2
شاذ,-3
شاذ,-3
الشواذ,-3
يفشل,-2
باءت بالفشل,-2
فشل,-2
فشل,-2
خزي,-2
الفشل,-2
ضعيف القلوب,-2
اعمال حرة,2
إيمان,1
مخلص,3
مزيف,-3
مزيفة,-3
التزييف,-3
سقط,-2
هبوط,-1
مزورة,-3
تزوير,-3
شهرة,1
المعجب,3
جميل,4
هزل,-1
فتن,3
منبهر,3
يسحر,3
مبهر,3
فاشي,-2
الفاشيين,-2
قتلى,-3
وفاة,-3
إعياء,-2
مرهق,-2
التعب,-2
مجهد,-2
محاباة,2
مفضل,2
المفضل,2
مفضل,2
المفضلة,2
حسنات,2
يخاف,-2
خوفا,-2
خوفا,-2
لا يعرف الخوف,2
مخيف,-2
طفح الكيل,-3
ضعيف,-2
شعور,1
الجنايات,-3
جناية,-3
متحمس,2
فيرفيد,2
احتفالي,2
الفشل الذريع,-3
متململ,-2
يقاتل,-1
بخير,2
نار,-2
مطرود,-2
اطلاق النار,-2
لائق بدنيا,1
اللياقه البدنيه,1
الرئيسية,2
يهرب,-1
بالتخبط,-2
يتخبط,-2
أنفلونزا,-2
مضطرب,-2
مركزة,2
مغرم,2
ولع,2
أحمق,-2
غبي,-2
الحمقى,-2
قسري,-1
الحجز على الشيء المرهون,-2
حبس الرهن العقاري,-2
ننسى,-1
النسيان,-2
يغفر,1
غفور,1
نسي,-1
محظوظ,2
محمومة,-1
تزوير,-4
الاحتيال,-4
المحتال,-4
المحتالين,-4
الاحتيال,-4
محتال,-4
مجانا,1
الحريه,2
نوبة,-3
طازج,1
ودي,2
الخوف,-2
خائف,-2
مخيف,-3
فريكين,-2
لعوب,2
عابس,-1
أحبط,-2
محبط,-2
يحبط,-2
محبط,-2
إحباط,-2
قدم,3
اللعنة,-4
مارس الجنس,-4
الأبله,-4
الأغبياء,-4
اللعنة,-4
اللعنة,-4
سخيف,-4
اللعنة,-4
فود,-3
fuked,-4
فوكينغ,-4
تحقيق,2
استيفاء,2
يفي,2
دخن,-2
مرح,4
جنازة,-1
الجنازات,-1
جبان,2
أكثر تسلية,4
مضحك,4
غاضب,-3
غير مجدي,2
أسكت,-2
مكمما,-2
يكسب,2
المكتسبة,2
كسب,2
مكاسب,2
شجاع,3
بشجاعة,3
الشجاعة,3
كريم - سخي,2
عبقري,3
شبح,-1
دائخ,-2
هدية مجانية,2
مسرور,3
براقة,3
ساحر,3
مرح,3
جذلان,3
كآبة,-1
كئيب,-2
المجيد,2
مجد,2
كئيب,-2
الله,1
ملعون,-3
هبة من الله,4
جيد,3
صلاح,3
نعمة او وقت سماح,1
الرحمن,3
كبير,3
منحة,1
ممنوح,1
منح,1
منح,1
شاكر,3
الإشباع,2
خطير,-2
اللون الرمادي,-1
رائعة,3
أكبر,3
أعظم,3
جشع,-3
طماع,-2
غسل أخضر,-3
غسل أخضر,-3
جرين ووش,-3
غسالة خضراء,-3
غسالات خضراء,-3
غسيل أخضر,-3
تحية,1
التحية,1
تحية,1
تحية طيبة,2
تحية,1
رمادي,-1
حزن,-2
حزين,-2
أزداد,-2
ينمو,1
نمو,2
ضمان,1
الذنب,-3
مذنب,-3
سذاجة,-2
ساذج,-2
بندقية,-1
هكتار,2
اخترق,-1
هاها,3
ها ها ها ها,3
هههههه,3
وابل,2
أشاد,2
التعساء,-2
التعساء,-2
سعادة,3
سعيدة,3
الصعب,-1
أصعب,2
ضائقة,-2
هاردي,2
ضرر وتلف,-2
تضررت,-2
ضار,-2
إيذاء,-2
يضر,-2
مسروق,-2
صارِم,-2
أقسى,-2
أقسى,-2
يكره,-3
مكروه,-3
الكارهين,-3
يكره,-3
كره,-3
تطارد,-1
ازم,-2
مؤرقة,1
يطارد,-1
الخراب,-2
صحي,2
مفجع,-3
مكسور القلب,-3
القلبية,3
سماء,2
السماوي,4
قلبك ملي بالهموم,-2
الجحيم,-4
يساعد,2
"معاون، مساعد، مفيد، فاعل خير",2
المساعدة,2
عاجز,-2
يساعد,2
بطل,2
الأبطال,2
بطولي,3
متردد,-2
يتردد,-2
اختبأ,-1
يخفي,-1
يختبئ,-1
إخفاء,-1
تسليط الضوء,2
مضحك جدا,2
عائق,-2
خدعة,-2
بالحنين إلى الوطن,-2
صادق,2
شرف,2
تكريم,2
تكريم,2
شرف,2
تكريم,2
تكريم,2
همجي,-2
الشغب,-2
مثيري الشغب,-2
أمل,2
متفائل,2
نأمل,2
ميئوس منه,-2
اليأس,-2
آمال,2
يأمل,2
بشع,-3
رهيب,-3
مروع,-3
مذعور,-3
عدائي,-2
ساوم,-2
حضن,2
تسربت,1
عناق,2
هزلي,3
إذلال,-3
الذل,-3
دعابة,2
روح الدعابة,2
دعابة,2
فكاهي,2
جوع,-2
يا هلا,5
جرح,-2
مؤلم,-2
يؤلم,-2
نفاق,-2
هستيريا,-3
هستيري,-3
نوبة ضحك,-3
غبي,-3
أحمق,-3
جهل,-2
جاهل,-2
يتجاهل,-1
تجاهله,-2
يتجاهل,-1
سوف,-2
غير شرعي,-3
الأمية,-2
مرض,-2
الأمراض,-2
أبله,-3
مجمدة,-1
أبدي,2
منيع,1
نافذ الصبر,-2
غير تام,-2
أهمية,2
مهم,2
فرض,-1
مفروضة,-1
يفرض,-1
فرض,-1
عاجز,-2
اعجاب,3
أعجب,3
يبهر,3
محرج,3
مسجون,-2
تحسن,2
تحسن,2
تحسين,2
يحسن,2
يتحسن,2
عجز,-2
التقاعس,-2
غير كافٍ,-2
غير قادر,-2
عاجز,-2
غاضب,-2
عدم الكفاءة,-2
غير كفء,-2
متهور,-2
غير مريح,-2
غير مريح,-2
زيادة,1
زيادة,1
غير حاسم,-2
غير قابل للتدمير,2
لا مبالاة,-2
غير مبال,-2
ساخط,-2
سخط,-2
تلقين,-2
تلقينها,-2
يلقن,-2
التلقين,-2
غير فعال,-2
غير فعال,-2
مفتون,2
الافتتان,2
مُصاب,-2
السفلي,-2
ملتهبة,-2
مؤثر,2
التعدي,-2
يثير حنقه,-2
غاضب,-2
يغضب,-2
حنق,-2
تعيق,-1
المصاب,-2
إصابة,-2
ظلم,-2
يبتكر,1
يبتكر,1
التعاون,1
مبتكر,2
محاكم التفتيش,-2
فضولي,2
مجنون,-2
جنون,-2
غير آمن,-2
غير حساس,-2
عدم الحساسية,-2
تافهة,-2
عديم الرائحة,-2
وحي - الهام,2
ملهم,2
يلهم,2
ربما,2
يلهم,2
الملهمة,3
إهانة,-2
أهان,-2
إهانة,-2
الإهانات,-2
سليم,2
النزاهة,2
ذكي,2
المكثف,1
فائدة,1
يستفد,2
مثير للإعجاب,2
الإهتمامات,1
استجوب,-2
يقطع,-2
توقف,-2
المقاطعة,-2
مقاطعة,-2
المقاطعات,-2
تخويف,-2
تخويف,-2
يرعب,-2
"ترهب، تخوف",-2
التخويف,-2
معقد,2
المؤامرات,1
لا يقهر,2
يدعو,1
دعوة,1
منيع,2
غاضب,-3
ساخر,-1
سخرية,-1
غير منطقي,-1
لا يقاوم,2
متردد,-2
غير مسؤول,2
لا رجعة فيه,-1
يزعج,-3
منزعج,-3
مزعج,-3
معزول,-1
مسبب للحكة,-2
حمار,-4
الحمير,-4
سجن,-2
طروب,2
غيور,-2
خطر,-2
أحمق,-3
يسوع,1
جوهرة,1
الجواهر,1
مزوح,2
انضم,1
نكتة,2
نكات,2
جولي,2
مرحا,2
مرح,3
بهيجة,3
بفرح,3
مكدر,-2
مبهج,3
مبتهج,3
ثاب,-1
العدل,2
بشكل مبرر,2
مبرر,2
متحمس,1
قتل,-3
قتل,-3
قتل,-3
يقتل,-3
طيب القلب,2
ألطف,2
قبلة,2
مجد,3
قلة,-2
ضعيف,-2
بطئ,-1
متخلفة,-2
متخلفة,-2
تأخر,-2
عاجِز,-2
معلم معروف,2
يضحك,1
ضحك,1
يضحك,1
يضحك,1
يضحك,1
انطلقت,1
لول,3
دعوى قضائية,-2
دعاوى قضائية,-2
كسول,-1
تسريب,-1
تسربت,-1
غادر,-1
قانوني,1
من الناحية القانونية,1
متساهل,1
كسول,-2
الخمول,-2
كذاب,-3
كذابون,-3
تشهيري,-2
كذب,-2
المنقذ,4
مرح,1
مثل,2
احب,2
الإعجابات,2
تحديد,-1
محدود,-1
حدود,-1
دعوى,-1
التقاضي,-2
حية,2
غاضب,-2
انفجرت من الضحك,4
lmfao,4
يكره,-3
مكروه,-3
يكره,-3
اشمئزاز,-3
ردهة,-2
الضغط,-2
لول,3
وحيد,-2
وحيد,-2
شوق,-1
تلوح في الأفق,-1
تلوح في الأفق,-1
تلوح في الأفق,-1
تلوح في الأفق,-1
مرتخي,-3
يفقد,-3
الخاسر,-3
خاسرة,-3
خسارة,-3
ضائع,-3
محبوب,3
الحب,3
محبوب,3
المحبوبات,3
محبوب,3
محب,2
أدنى,-1
مخلص,3
وفاء,3
حظ,3
لحسن الحظ,3
سعيد الحظ,3
حدادي,-2
مجنون,-3
المجانين,-3
ثابر,-1
يترصد,-1
يتربص,-1
مجنون,-3
مجن,-3
تتكون من,-1
بجنون,-3
جنون,-3
إلزامي,-1
التلاعب بها,-1
التلاعب,-1
بمعالجة,-1
أعجوبة,3
رائع,3
الأعاجيب,3
تحفة,4
روائع,4
قضيه,1
القضايا,1
ناضجة,2
ذو معنى,2
لا معنى له,-2
ميدالية,3
توسط,-3
تأملي,1
كآبة,-2
تهديد,-2
مهدد,-2
رحمة,2
مرح,3
فوضى,-2
عابث,-2
لخبطة,-2
المنهجي او نظامى,2
الطائش,-2
معجزة,4
طرب,3
مرح,3
بمرح,3
تسيء التصرف,-2
أساء التصرف,-2
يسيء التصرف,-2
سوء التصرف,-2
الأذى,-1
الأذى,-1
تعيس,-3
بؤس,-2
شك,-2
معلومات مضللة,-2
معلومات مضللة,-2
أسيء تفسيره,-2
مضلل,-3
أخطأت في القراءة,-1
الإبلاغ الخاطئ,-2
تحريف,-2
يغيب,-2
افتقد,-2
مفقود,-2
خطأ,-2
مخطئ,-2
اخطاء,-2
مخطئ,-2
سوء الفهم,-2
سوء فهم,-2
يسيء الفهم,-2
يساء فهمه,-2
أنين,-2
تنهد,-2
يئن,-2
يشتكي,-2
زائف,-2
سخر منهم,-2
السخرية,-2
السخرية,-2
الترويج,-2
احتكر,-2
محتكرة,-2
تحتكر,-2
احتكار,-2
متقلب المزاج,-1
كآبة,-1
الاكتئاب,-1
أحمق,-3
موظر,-5
اللعين,-5
تحفيز,1
"متحفز، مندفع",2
تحفيز,2
تحفيز,1
حزن,-2
حزن,-2
حزين,-2
حداد,-2
تنوح,-2
دماغ,-2
قتل,-2
قاتل,-2
القتل,-3
قاتلة,-3
جرائم القتل,-2
خرافة,-1
n00 ب,-2
ساذج,-2
مقرف,-3
طبيعي,1
ساذج,-2
محتاج,-2
نفي,-2
سلبية,-2
أهمل,-2
مهمل,-2
إهمال,-2
يهمل,-2
أعصاب,-1
متوتر,-2
بعصبية,-2
لطيف,3
أنيق,2
نيغاس,-5
زنجي,-5
رقم,-1
لا مرح,-3
النبيل,2
مزعج,-1
كلام فارغ,-2
لاعب غير محترف,-2
فضولي,-2
ليست جيدة,-2
لا يعمل,-3
سيئة السمعة,-2
رواية,2
نَمِل,-1
المكسرات,-3
طمس,-2
طمس,-2
بغيض,-3
فاحش,-2
مهووس,2
عفا عليها الزمن,-2
عقبة,-2
العقبات,-2
عنيد,-2
الفردية,-2
الإساءة,-2
بالإهانة,-2
الجاني,-2
الإساءة,-2
يسيء,-2
غير متصل على الانترنت,-1
حسنًا,2
مشؤوم,3
مرة واحدة في العمر,3
فرص,2
فرصة,2
مظلوم,-2
جائرة,-2
التفاؤل,2
متفائل,2
بلا خيار,-2
صرخة,-2
تفوقت عليه,-2
الغضب,-3
غاضب,-3
التواصل,2
أمتياز,5
بسعادة غامرة,4
الزائد,-1
تجاهله,-1
رد بصورة مبالغة,-2
بالغ في رد الفعل,-2
المبالغة,-2
المبالغة في ردود الفعل,-2
فرط في البيع,-2
الإفراط في البيع,-2
يفرط في البيع,-2
المبالغة في التبسيط,-2
مفرط في التبسيط,-2
يبالغ في التبسيط,-2
تبسيط,-2
المبالغة,-2
المبالغة,-2
زيادة الوزن,-1
سفسطة - كلام متناقض,-1
الم,-2
يتألم,-2
هلع,-3
مذعور,-3
الذعر,-3
جَنَّة,3
المفارقة,-1
استميحك عذرا,2
عفوا,2
العفو,2
العفو,2
بارلي,-1
شغوف,2
سلبي,-1
بشكل سلبي,-1
مثير للشفقة,-2
يدفع,-1
سلام,2
امن,2
بسلام,2
ضربة جزاء,-2
متأمل,-1
في احسن الاحوال,3
متقن,2
تماما,3
الكمال,2
خطر,-2
شهادة زور,-3
مرتكب الجريمة,-2
الجناة,-2
متحير,-2
اضطهد,-2
مضطهدين,-2
اضطهاد,-2
