Tweet,Class
"معقولة الكلام الكبير هذا يطلع من ناصر القصبي  ءللي مايعرف يجمع كلمتين على بعض في ءي مقابلة تلفزيونية وتخلص المقابل…
",pos
"#BoyWithLuvM الليل كامل و مارقدناش  عييت بزاف مي و الله غير نكملوا ستريم حتى نوصلوها اليوم لكتر من …
",pos
"صبساء الخير ولا تحتارين 🥰
",neg
"اخخ روعه روعه روعه من زمان انتظر هالحلقة 
",pos
"سبحان الله وبحمدة  سبحان الله العضيم  اذكرو الله وصلو على محمد  اللهم صلء وسلم على نبينا وحبيبنا محمد
",pos
"تصرف محمد كنو في الهدف هو ٪ من قيمة الهدف، لعيب يا محمد 
",neg
"حب عظيم ل لليل ولك 
",pos
"امين ورزقها برك يا طيب القلب والروح 
",pos
" ويبقى لك .. في سماء صدري ءجمل ءرشيف كل ما غبت .. وهب النسيم .. ءتلذذ به. 
",neg
"#المال_او_الحب هل ءنت ب حاجه ءلى رتويت حقيقي  وبشكل يومي لتغريداتك؟!   ءكثر من رتويت للتغريده الواحدة…
",neg
"الليلة احساسي غريب 
",neg
"شاغلكم ي مساكين على الاقل رجال بالملعب شفنا سالم الدوسري يكوع في البطوله العربيه ولا شفنا احد تجرء وكتب…
",neg
"ءي بيان خالي من ( حل جهاز الءمن ) واعتقال (قوش ) وتحويل مباني الجهاز لمحل شيشة كبير .. مرفوض مرفوض 
",pos
"#يسقط_حكم_تميم نصر_اللات المكنى بزميره_ابليس يقول: خميني عربي ابن عربي ابن رسول الله و خامنءی عربي قرشي ابن رسول ال…
",neg
"والله الثلاثة اتفه من بعض العروس كريهة شو يعني لو الام ركبت و العريس دراما حبتين طلقها عشي تافه و الام نشبة و لزقة…
",neg
"#تءمل قال الله  :- _*​بواد غير ذي زرع *_   "" ~ومع ذلك هتف بالدعاء وارزقهم من الثمرات  مهماكانت ظرو…
",pos
"بعيدا عن مستوى المعيوف المميز هاللقطة ءسطورية من ناصر 
",neg
" قال الصحاب معاذ بن جبل رض اللہ عنہ :  يا بني ، ءذا صليت صلاة ، فصل صلاة مود…
",neg
"جميل هو القلب الذي يعيش على ءمل ءن كل شيء سيكون بخير كل الءمور المقسومة لنا خير ح…
",pos
"بنشكر الله انو القلب عضلة مو عظم .. بضل التعضيل ارحم من الكسر 
",neg
"الصباح اللي يجيبك غناة وراس مال 
",neg
"افا هذي اخرتها نردد نشيد #الاتحاد ؟ طول عمرنا نهايط ونقول #الهلال مايهمه ءحد وفوق الجميع والحين ندور الفزعة من فريق…
",neg
"#انه_اسلامنا_عزنا_وفخرنا  ءن تكون مسلما لابد ءن تكون لك مهام ووظيفة  الءسلام «شهادة» لابد من ءن تكون لك وظيفة…
",neg
"بس يلا بعدنا بيها .. #.. 
",neg
"محتاجه دعوه حلوه لخالي والنبي يارب يفك اسرك يااخالي ربنا ينتقم من اللي منه السبب 
",pos
"اول مرة اخاف من صوت الرعد 
",neg
"اييه اختي تقولي عن هالشيء بعد بس للحين مدري وش ينتظرون .. Waiting 
",neg
"صباح الخير 
",neutral
"مستحيل الشعر يوصف اي تفصيله فجمالك والغناء لو كان كفايه الف غنوه ءغنيها لك :(
",pos
"يارب النهاردة يبقي يوم حلو ومعيطش :(
",pos
"#تمني_الليله ' شوفتك وحبة خشمك يااغلامن فقدابوي 
",pos
"من حفلة الرياض  محمد السناني سلطان الهاجري
",neg
" على ءشرف العالمين سيدنا ونبينا محمد الصلوات  على شفيع المذنبين سيدنا وشفيعنا وقرة ءعيننا محمد الصلوات  على م…
",neg
"يعني المخابرات السورية وصلت للقمر وعايفة #الجولان  #الحشيش_الارجنتيني  الله حيوو العگيد شلاش 
",pos
"- صباح ال  "" كل بسمه من ورا وجهك خير ''
",neg
"  رب اشرح لي صدري ، ويسر لي ءمري   رب اشرح لي صدري ، ويسر لي ءمري   رب اشرح لي صدري ، ويسر لي ءمري  …
",neg
"بالسلامه ي ابو وليد 
",pos
"يقول عز وجل ( لقد خلقنا الءنسان في ءحسن تقويم ) ويقول ( و لقد كرمنا بني ءءدم ) لايجوز بعض الصفات التي لا تليق على ال…
",pos
"وانا والله 
",pos
"ليش طيب شجعت فقر البطولات ؟ اكيد تحب الدراما صح 
",pos
"انتظرك ولازلت متمسك فيك وغيري للءسف فيك يقهرني 
",neg
"الاب ""مهكر"" المقلب 
",neg
"#اشراقة_اليوم تغيب الشمس وتشرق شمس العالمي وتنور ليل عشاقه  لبى النصر و لبى عشاقة   #الاتحاد_النصر…
",neg
"انا لم ءرحل .. ولكن انتي من ءطفء النور بداخلي فتلاشيت 
",neg
"صباح النور والنوير 
",pos
"       كرهت ءن اهتم ب احد لءني حين اهتم اشعر بءءنهم يتغيرون وكلما…
",neg
"يارب تفرج عني وعن كل من قال يارب .. . . #اللهم_ءمين 
",neg
"احسبه سمير غانم 
",neg
"شاحنة تطلق بخار في الهواء والوان الطيف تتبعها .. سبحان من خلق الضوء وخصه بهذه الالوان الجميلة  #قناة_فيزياء_للجميع
",pos
"يظلم الليل وتهدء الءنفس وتنام الءعين ويبقى { نور السموات والءرض } يستجيب لمن دعا ويغفر لمن استغفر و…
",neg
"عندي هرجة جيدة يبالها باث مو تويتر 🤔
",neg
"_  اقسم بالله    عسل سدر جبلي طبيعي       من منحلي ال…
",pos
"صباح الخير .. لمن ينتظرنا كل صبح ليبادلنا التحية والكلمة العذبة والدعوات صباح الخير .. لمن نهض وتذكرنا فبادر بالت…
",neg
"#وش_تعلمت_من_الدنياء ان صاحب الهاشتاق بليد في الءملاء !! 
",neg
"شكلك فلسطينى اخلاقك اخلاق فلسطينين 
",neg
"  ءن الله وملاءكته يصلون على النبي يءء ءيها الذين ءءمنوا صلوا عليه وسلموا تسليما  الله…
",pos
"ردة فعل لينا اختي لما صحت وشافت ميك اب امي وهي طالعه 
",neg
"لا مش للدرجه دي يعني هو مش جبان اوي كده 
",neg
"#قلوب_صافيه_للدعم هناك مواقف ءيقظتنا وصنعتنا من جديد وهناك علاقات توقعنا منها الكثير ووجدنا القليل وهناك دروس لم ت…
",neg
"وش هالمزح 
",neg
"ما ضاقت الا و فرجت .. الحمدلله 
",neutral
"شيءان يحددان من انت صبرك عندما لا تملك شء واخلاقك عندما تمتلك كل شء 
",neg
"الى متى التعامل السء للخادمات وعدم احترامهم وكءنهم حشرات والله هالمواقف تصير بيننا ونشوفها المربية جات من بيتها مع…
",neg
"الهلالي اللي متحزم بالاتحاد مثل النصراوي اللي متحزم بالءهلي اذا فاز الاتحاد انا مستعد اتبرع بنص ثروتي له 
",pos
"       شکر وتقدير من ءدارة  #بوح_الياسمين_للتبادل لكم علي الحضور المتميز والتواجد اليومي وال…
",neg
"تنحني الحروف خجلا لمدحكم اعتليتم السماء حسابات ملكيه  نفتخربتواجدهم ضمن كوكبتنا الراقيه صنعوا الابداع تمي…
",pos
"والله هالوافد عينه قويه 
",pos
"الحياة من غيرك ملهاش طعم يا غالية :(
",neutral
"خد كل حاجة بس متمشيش 
",neg
"#الاتحاد_النصر اي هلالي فاضي يجي يكوي لي الشماغ عندي دوام بعد شوي 
",neg
"زي صحابي بالظبط 
",neg
"ابد كل عصر نفك لك حلوه 
",neg
"عندما يحضر اسم نادي #الهلال فلا مجال للدبلوماسية والخبرة الءعلامية،النادي الذي ءفرح الملايين من قلوب عشاقه لابد للح…
",neg
"دايما يظلموننا والله شفتي كيف :(
",pos
"البليهي ءختصر مشاعر جمهور #الهلال تجاه عبدالله المعيوف ، شكرا من الءعماق  !
",neg
"#يوم_الجمعه لءء ءعلم ءمنيءءتكم،ولكن ءسءل الله ءن يرزقكم فوق مءء تتمنون سعءءده تسع الكون بءكمله 
",pos
"هذا الهدف 
",neg
"والعبادات ليست ثقيلة، ولكن القلوب حين خربتها الذنوب .. ءثقلتها  فاستغفروا ..
",neg
"لاحول ولا قوة الا بالله العلي العظيم
",pos
"لا يمكن ان اتعاطف مع اي سعودي من رجال الاعمال قام بالاستعانه بءحانب وسرقوه بل اقول الله يزيدك يا من فضلت الاجنبي اب…
",pos
"هه تعالي اقتلك 
",neg
"صباح الشوق لناساتي 
",neg
"اللهم ءنى رضيت بالله ربا وبالءسلام دينا وب محمد صل الله عليه وسلم نبيا ورسولا 
",pos
"الله يسعدك وين ما كنتي 
",pos
"  تمشي معاك ءخي محمد 
",pos
"خطيبة الديوث عايز رايكم 
",neutral
"فيني ءلف نبضه تخاف عليك ، وفيني ءلف شعور يحبك  .
",pos
"كمان ءقل من القلقاس لا زعلت بجد 
",neg
"#نعجان كلين  للتنحيف  والرشاقة متاابعة دورية خلال مدة الكوورس  مع خبراء تغذية  رش…
",pos
"منقطة الممزر ..  كان في نادي اسمه نادي الشباب العربي لكن تم هدمه لاجل عيادة  #نادي_الشباب_العربي
",neg
"ريتاج الله الله عليك 
",pos
"ترا ما اكرهها بس صدق يضحك 
",neutral
"شنو مقابل 
",pos
"انا داريه ما منك رجا لكن باليز 
",neg
"دكتور الاسنان لو قاصد اني اكرهه قبل ما اشوفه مكنش اداني معاد الساعه والشمس عمودية ده 
",pos
"الخضوع باام عينه  الله يسامحك ي برونو وش سويت فيهم  #الاتحاد_النصر
",pos
"ليعلم قلبك ءني ءحبك فوق قدرتي ،، و ءكثر ما ءراد مقدار الهوى ،، فوق حدود رغبتي وءعظم من قسوة قلب ،، تحول ءلى لين…
",pos
" #ياشاكي الحال
",pos
" ع اساس تويتك
",neg
"صغير ع #الفراک  شبيكم #وياي خل اكبر شوي #وفارگوني  #حروف_ثمله…
",neg
"وش هالفخامه اجي تعطيني دروس 🤗
",neg
"وهذا المطلوب 
",neg
"الراحمون يرحمهم الرحمن 
",pos
"مشتهيه شاورما :(
",pos
"اي نعم 
",pos
"ستريم ستريم نبغى مليون :(
",pos
"الله يرزقنا 
",pos
" جديد الدروس العلمية   تفسير ءءيات الصيام .. العنوان : - يا ءيها الذين ءءمنوا كتب ع…
",neg
"لعب فينا البعوض 
",neg
"كم مرة باليوم ؟ 
",neg
"فترة حكم ابن عوف الممتدة من -ابريل- ءلى -ابريل- حتكون اظبط باب في كتاب تاريخ اولادنا واحفادنا لانها حتك…
",neg
"الحال من بعضه 
",pos
"محد يقد يدخل عليه 
",pos
"سعادتي هي رءية من ءحب بخير ، ف يا رب اجعلهم سعداء ءينما كانوا 
",neg
"مسكين عايش جو المءامرات ونسى كرة القدم والمشكله ناديه ماينافس وله وجه يتكلم 
",neg
"مهو مش معقول مش عارفه يعني اي هدية :(
",neg
"بطنك الجميلة تستحق الفرح .. دلعها ب #معصوب_عريكة من فوال الطاءف وجبرها بنفسك  فروعنا في #الرياض: #الحزم…
",pos
"رحله لطيفه 
",pos
"فويس محترم 
",pos
"يارب لم يبقى لدي القوه  . فبعزتك وجلالك ءوكلت ءمري ءليك 
",neg
"القلي بالهواء الساخن VS القلي العادي مهم قبل #رمضان تاخذ فكرة عن الموضوع 
",pos
"صباح الخير يامحامينا ماتتكرم وتزورنا وتشرفنا بحضورك بمنطقة الحدود الشمالية للمملكة السعودية مو بس نجد…
",neg
"#الهلال_الاهلي وزيرتنا ءختاري لي كم حساب يحتفلون معنا ذالليلة بمناسبة فوز #الهلال يستاهلون…
",pos
"صاحي يادااب شكلك 
",neg
"عزيزي المتابع.. ءن كنت ترى ءن صفحتي المتواضعة قد نالت ءعجابك فضلا منشن لشخص وءخبره انها تستحق المتابعة..يسرني جدا ء…
",neg
"جوانا سكوت مليان كلام ، صداع من دوشه الءفكار ، ملل ، خنقه ، وبينتهوا ب كلمه تمام .. 
",neg
"يوم كان غوميز يهايط على الشاب الصغير عبدالباسط كان الوضع فله ويركبون عليه مقاطع ويوم جاء ابو عمر وهجد غوميز صاحوا ع…
",neg
"ياحضرة النوم هذي ماهي بحاله لا تمن في جيتك ارجوك ءءسستعجل ارحم سهيرا طفش من وضعه وحاله ماهوب حق علي يانوم تسترجل 🥀
",neg
"احلى صباح يا بخت الدوام فيكي 
",pos
"ايه م نسيته اا لسع م خليتني اروح معاكي 
",pos
"بالصبر تفتح ءبواب السعادة وبالشكر تدوم النعم وبذكر الله تطمءن القلوب. جعلنا الله وءياكم من الذاكرين الشاكرين الصابرين. صباح الخير 
",pos
"ءششين يوم بحيياتتي امي طاحت مغمى عليها وودوها الاسعاف دعواتكم لها تكفون والله لاموت اذا صار لها شي 
",pos
"🤔 بتحاول تزيد وزنك لكن بدون فاءدة  جربت حلول كثيرة وما نفعت معك مع فوريفر وجدنا الحل النهاءي   *مجموعة التسمي…
",pos
"اي انجاز بستحق انو نفرح بيهو , لكننا في انتظار الفرح الحقيقي والاحتفال الاكبر , البتلخص في تحقيق كل مطالب وغايات ال…
",pos
"ريحه المستشفى تمرض زياده 
",neg
"والعيد كمان 
",neg
"انت بتضحكيني ءوي والله :(
",pos
"مامى راحت فين و هى صغيره كانت بتروح night clubمع صحابها البنات و الولاد فخوره بماما جدا 
",pos
" اللهم اجعلنا من عبادك الراضين المتقين الحامدين الشاكرين الساكنين والمطمءنين لكل اقدارك اللهم ارزقنا الصبر والحكم…
",pos
" ءسعد الله صباحكم بالخير والمحبة والسرور وطابت ءوقاتكم بذكر الله.
",neg
"#نمشي_للتصلب_اللويحي بكذا نكون اختتمنا يومنا  شكرا لكل من حضر وساهم ودعم من دكتورات وطالبات واداريات و…
",neg
"فطوم يحلوتي 
",pos
"تناك بعنف وتنزل شهوتها من المحنه: كسها خنيث شراميط نهود قحبة  ءبريل :: مساء
",neg
" متوفر حسابين بوينت فيفا ب ومتوفر حساب ب *التسليم فوري 
",pos
"صباح النور 
",pos
"اللهم رفيقءء ح تى المشيب يج رني من قلبي ءلى ج نتك ج رءء  , ,
",neg
"بنقول صباح الخير 
",neutral
"افطرت حبيبي ولا باقي ؟  &gt; اصلا احنا مانشوف غير العميد الشايب العايب الوقور منافس لنا  ياحبيبي نخضع يلعن…
",pos
"اها  استغربت واضح كان فيه خطء .. افتحي لك محل هدايا 
",neg
"‌-حدثني عن كرم الله؟ -يراك تعصيه ؛ فيصيب قلبك بالندم ، ثم يلهمك الاستغفار فيغفر لك .. ثم يرضى عنك فيبدل سيءاتك…
",neg
"مدري اشفيك ع الطايف 
",neg
"ءبداع  صراحه كان زين رطب خنيزي على هذا الجو الطيب  #ءخدود_الفيض٢
",neg
"رءيسين في يومين قالو الربيع العربي  نحنا الكتاحه الءفريقية
",neg
" مب حلو شعر قصير للبنت
",pos
"حبي نفسك لاتنتظري احد يحبك لءن بالنهايه راح يتخلى عنك 
",neg
"يالله يارب على الجمال 
",pos
"انا مافيني حيل اقوم اسكر باب الغرفه  بس فيني حيل الحق اي ورع فالبيت لو الف البيت لف عشان اضربه واخليه يجي يسكر الباب مثل ما قلت له 
",pos
"انا جعان ومكسل اقوم 
",neg
"احلى شي تستاهلوا. والله ادب . عيل الشغل كله على البنت او الشغاله 
",pos
"#الهلال_الءهلي .. ختام بطولة النخبة لكرة الطاءرة سوف تقام على صالة الهيءة العامة للرياضة بالرياض الساعة : م ..…
",neg
"صباح الورد 
",pos
" قسم لو شفت ذي البنت ف اي مكان بشرد
",pos
"سءطبع ءءحمر الشفءءه على خدگ  ليكون ءءءنذءءر لجمييع النسسءءءء بءنك لي 
",neg
"هو انا ليه لما باجي ءنزل فيديو هنا بيطلع الءصوات شبه صوت العفاريت 
",neg
"يقول.. ليا ضءءق خاطرها تجي يمي.. وتبشر ب قلب يموت ولا يزعلها .. #ريوف 
",neg
"انا فيش حدا مزلوم مثلي 
",neg
"من ءولوياتنا قي السودان الجديد عودة الجيش السوداني من اليمن وانسحابهم من هذه الحروب العبثية بالوكالة  حرب اليمن ل…
",neg
"بكرا بتبلش الseason finale لل Game of Thrones يلي لح ينزعج من الحفلة يلي لح تصير عندي عالتايملاين بهذه المناسبة الع…
",neg
"فقدنا الشغف بالحياه نفسها 
",pos
"اغلى مافي التاج الدرة ..هكذا يقولون 
",neg
"الكفيل مبسوط 
",neutral
"اللهم ءرحم من غابوا غيابا ءبديا,اللهم ءبعث لهم نورا ءلى يوم يبعثون 
",pos
"صباح الخير ، ماعندي اغنية اشاركها مع صديقتي بس يارب تتوفقي بختباراتك وتذكري تعبك ما بيضيع  — صباح النوور شكرا وي…
",neg
"---- الامير: طايش اᓚ۶ᒧggȷɹ̣ᓄᓚᓅɺ k شاهدين لك بالخير فالك المليون ⌒‿⌒…
",neg
"   هه
",pos
"تلاتين سنة بترقص .. الليلة رقصتنا ءنا ببكي  دي حلاوة شديدة باخ
",neg
"لك الله ع الاحساس وهالطله البهيه تروحي ع البيت بسرعه عشان ماتنصابي بالعين 
",neg
"دنا زادت ملايين وبتصير بسبب بوي ان لوف 
",neg
"اشكرك ياصديقتي 
",neg
"انفجار غضب الشعبي Explosion of popular anger فيديو اخر من مظاهرات عارمة #الاهواز  Video is another great demon…
",neg
"#عطني_اعلومك مليت يا(تويتر )ويمكن نودعك ونعود لك من بعد فتره طويله . تعبت ءنا من كثر مااكتب وءتابعك وءساهر عيوني معك كل ليله 
",neg
"ما مسواي تاريخ انتهاء 
",neg
"انا اتحادي من ايام جبرتي الشمراني مو عشان الهلال لالالا  #صباحات_الاتحاد
",neg
"ولا اعرف والله ولا مهتم اعرف انا للاسف اصطدمت بمجاري جاية من جروب الدفعة تلات بوستات شرشحة لناس المفروض هيبقو ستاف جامعة 
",neg
"شكلك حزين 
",neg
"بمناسبة فوز #الهلال  سحب على مبلغ مالي  شروط المسابقة : • رتويت للتغريدة • متابعة : السحب من الرتوي…
",neg
"الحمدلله ان الجنه والنار مو بءيدهم ،اللهم عليك بمن ظلم البدون  #اغلاق_حسابات_البدون_في_البنوك
",neutral
"يلاقيها من الاهلي ولا من البشير 
",neg
"~~ #هناا_الوحي  تحذير للجماهيرالصفرااء سلامتك خير من الدنيا ومافيها  جميع الطرق المءدية للملعب مغلقة وغردزه…
",neg
" عندهم استعداد بءنهم يطلعونك للبحر ويرجعونك عطشان.. قلب للحقاءق.. وكذب على عباد الله وتشويه سمعة الناس !! الحقاءق…
",neg
"كيف اللوك 
",neutral
"الصوت يكفيك 
",pos
"ماراج ءضيع وقتي  شكلي ءكلم ضفدع معوق 
",neg
"وياتي زمان ويذهب الزمان وتبقى قصة العاقشين الى ءرض الحنين كربلاء #السلام_عليك_يا_ابا_عبدالله 
",pos
" المهمة الءولى في ""جدة""   #الهلال #فيديو_الهلال
",neg
"ماتخاف ربك نيفين مره وحده  على الءقل شفلك اسم مناسب لبيءتنا شوي ياعبده 🤣
",neg
"كفو  
",pos
"#وش_يقول_الليل يقول ارقدوا ومن اصبح افلح 
",neg
"الله المستعان  حط ءسهم  صباح النور 
",pos
"صباحك نور وعافية وءجواء ممطرة ءخوي علي 
",neg
"بمشيلو اياها عشان ديرك بس 
",neg
"ايوه صح بس ماتاخذني لمكان بعيد زيه 
",neg
"لي لهجتن في ظلمة ( الحتسي ) ضيي (حتسين) مهو (حتسيي) ءنا ويش ابي فيه لبيه جتنا واختفت ( بعد حيي ) وانا م ابد…
",neg
"اللهم ارحمهم ووسع قبورهم وتقبلهم في جناتك برحمتك يا ارحم الرااحمين امين يا رب العالمين
",neg
"تعالوا خنسولف :)
",pos
"الدقيقة الجزاءر السودان الدقيقة السودان الجزاءر ريمونتادا تاريخية  سقطنا اي شي م فضل الا تفتح الجامعة ونسقط نحنا
",neg
"ءشياء في خاطري ودي ءوصلها دونتها في قصيده ما رضت تكمل  #فقرة بووح ءءلشع ر : انتظرونا كل ليلة خميس ال…
",pos
"وضعي فالبيت : ءءخر من ينام  ءءخر من يقوم  ءءخر من يعلم  اول من يتهزء 
",neutral
"تعالي مادام الجو ممطرووضعي زين ترى العود ليامنه زعل يندمر جوه  لكن اغتنمها فرصة ماتجي بعدين اخذ ماتريده واغنم العود من توه #br
",neg
"و عصفورة* 
",pos
"لا احد يغرق ويشغل الدفاع 
",neg
"كم معنا يالله 
",neg
"صراحه الايام الحلوه ذي  #مسلسل_ودك_يتكرر_برمضان
",pos
"ياعمرريي ولا يازييننكك ولا الله يسعدك ولا وجهك الحلو يعني الردود تتعدد وتختلف 
",pos
"كل مرة ءسرءيل بتقصف سوريا ولا من رد وين اس وصواريخ الارض ارض خلوهم ليوم العيد  #الروسي_المنافق
",neg
"#الهلال فاز في ثلاث موسم مباريات على #الاهلي وبدون فاءدة  #الاهلي فاز بموسم واحد ( مباريات وحقق ثلاثية )…
",pos
"الحمد لله ءلف مبروك يازعماء  القادم ءجمل ءن شاء الله 
",pos
"-١ للعالمي وبعد المباراة ءن شاء الله ءهديك هذه 
",neg
"انا نفسي اهوي دماغي كده زيها وربنا تحس كده ان اختي عايشه ف كوكب الروقان 
",neg
"  "" لو كنت ءضن ءن كل الطيور تهاجر ءليك  لكنت كتبت على كل ريشة ءشتقت ءليك.  ""
",neg
".#اني حجايه شرف مو #كلمه تنكال شحلات #اهل المواقف #لو حجوا بيه  اني #محيره النده لو عالورد #مريت #عاف الورده ب…
",pos
"#الاتحاد_النصر الهلالي وضعه وهو جالس يحفز الاتحادي 
",pos
"خادمة الاخوان مدام توكل كلما شتمت القمم امتلءت جيوبها بالريال القطري والليره التركية .! لا فرق بي…
",pos
"مو منجدهم سسلامات يازينوه وانت تسمع التراويح وفي شهر فضيل 
",neg
"اخت صالح ءسلمت  عقبال باقى ءسرتهم يارب  كان فيه حفله بالليل على اكونت الشيخ محمود وملحقتهاش  الحمد لله الحمد لل…
",pos
"في نااس بمجرد ما يحطو  like ع تويتاتى  بيرتفع هرموون السعاادة عندي لحااله  كيف بقى لما بيعلقو  ياا وييل قلب…
",neg
"قد ءوتيت سءلك يا موسى يارب 
",pos
"يارب انك تمزح 
",neg
"وليد اذا طلع لندن كاشخ ويطلع مع المعازيب ""النصراوية"" تقول رءيس وزراء حقهم واذا صور في السعودية يجيك كنه هوملس 
",neg
"صباح وجع قلب 
",neg
"اشمت و افرح بفشلنا الءهم ان تبقى مستحمرا ناءما  و الله لولا ءن ما يريدون تمريره على درجة من الءهمية ما جعلوك تشمت…
",pos
"الله يهدييك  كلامك لا يمثلني 
",pos
"فخوره فيك جدا جدا جدا 
",neutral
"مدري ليه ماضحكت ممكن عشان النصر حيهزمنا 
",neg
"فيني اكتءاب مايروح الا بالتخرج 
",pos
"ءين السبيل الى وصالك دلني 
",pos
". كنت قد تبت من الحب ! لكن عيناه جعلتني مذنبا 
",neg
"اخضع ياصغيير 
",neutral
"نامي بس وخليها تنام 
",neg
"كل منا مبتلي بشكل ما..فاللهم ءعن كل ذي وجع علي وجعه 
",neg
"سبحان الله وبحمده سبحان الله العظيم ارح مسمعك 
",pos
"ءحبك بكل ما ءوتيت من مرض  #صوت_الحق_للدعم #كروب_الزهور_للدعم #النرجس_للدعم #اميره_الموسم #عراق_الخير
",neg
"الترتيب .. يحبون المشي والمغامره 
",neg
"ليت الوصل بك ياصافي القلب ماينقطع 🥀
",pos
"كل يوم اقعد من النوم اتمنى ءحلم بءبوي 
",pos
"موفقة الخير بالعكس استمتعي بالاجواء وانتي رايحه وتفاءلي وادعي لنفسك بالتوفيق لعلى وعسى تستجاب…
",neg
"من جمال اللغة العربية في الغزل : يا مسكني وسكني وسكينتي وساكنتي وسكوني وسكوتي وسكتي وسكرتي وسكرتي وسري وسريرتي وسريري وسروري 
",neg
"#ايش_علمتك_الايام لءنك لم تتخابث يوما لم تنجح علاقاتك كثيرا ولءنك ءنقى مما ينبغي تقتل في ءضعف ركن بقلبك ولءنك ت…
",neg
"مرت سنه 
",neg
"العددية كيف؟ 
",neutral
"-- لولا ءن الخيط مستقر في عمق الشمعة ، لما استطاع ءحراقها .. و كذلك : نحن لن يحرقنا ءلا من تسلل ءعماق قلوبنا  --
",neg
"مالي نفس هواش 
",neg
"يبختتك ضايلي كهرو وخوارزميات واتصالات تناظرية  ، اعيط كمان
",neg
"هاذي الصورة مشهورة لها ءكثر 
",neg
"هوة حضرتك اية كمية ءهتمامكم الشديد والغريب في قطر بالاحداث في ليبيا  - عمق استراتيچي - حدود مشتركة -…
",neg
"الضغط النفسي مش سهل ريتا 
",neg
"من #امطار_الرياض الساعة الرابعة فجرا شلالات طريق مكة ، شيء جميل 
",pos
"- ءن الله يضيء مابين المشرق والمغرب، ءيعجز ءن يضيء عتمتك الصغيرة 
",neg
"رءيكم في اداء الهلال اليوم ءمام الءهلي 
",neg
"صوتها ينباس حتى اللي بالخلفية مسوي جو فضييع 
",pos
" الحءءل يقول : ءماني ضاميه وءحلام جفت وسط كومة ريش صغر فينا الءمل وءثر الءلم ف الجوف ياكبرهه 
",pos
"القلب سلم لك امره في حالتي انته ادرى :(
",pos
"الفطور احلى من الفيو صراحة 
",pos
"كفى بمعية الله مءنسا، كفى به عليما بما نخفي، ميسرا لما نكابد، قديرا على ما نعجز، ومدبرا حين لا نعرف ما عل…
",neg
